0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.314377548885013458e-01
3.799999999999999822e+00,1.669999999999999929e+01,8.199999999999999289e+00,2.030000000000000071e+01,1.050000000000000000e+01,1.078002993216952587e+00
1.300000000000000044e+00,4.700000000000000178e+00,2.850000000000000000e+01,1.680000000000000071e+01,3.700000000000000178e+00,2.747148937221424170e+00
2.060000000000000053e+00,3.979999999999999716e+01,4.500000000000000000e+00,2.019999999999999929e+01,2.050000000000000000e+01,2.984163660431986553e+00
2.210000000000000142e+01,1.600000000000000000e+01,1.850000000000000000e+01,1.899999999999999911e+00,4.000000000000000000e+00,9.382522404330347898e-01
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.893890127014662750e-01
0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.744470393999907776e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.450142023818964176e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,1.932708864873460497e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.223379110394311908e+00
