Iteration	Y	var_1	var_2	var_3	var_4	var_5
1.0	0.06471777	0.0	0.0	0.0	0.0	0.0
2.0	1.73198474	3.8	16.7	8.2	20.3	10.5
3.0	3.28965061	1.3	4.7	28.5	16.8	3.7
4.0	3.28139683	2.06	39.8	4.5	20.2	20.5
5.0	1.2058089	22.1	16.0	18.5	1.9	4.0
6.0	0.30807267	50.0	0.0	0.0	0.0	0.0
7.0	1.25969819	0.0	50.0	0.0	0.0	0.0
8.0	10.88522071	0.0	0.0	50.0	0.0	0.0
9.0	2.44986287	0.0	0.0	0.0	50.0	0.0
10.0	2.32462047	0.0	0.0	0.0	0.0	50.0
11.0	0.31932770184548465	26.5548736485225	22.63029211391723	8.862232815842875	13.863981466155112	3.2102393918316596
12.0	0.4161221960891305	26.059918486425918	20.344168064982238	9.404859692101763	14.342357723988139	2.562970008943107
13.0	0.3208264063421088	50.0	40.51767489537252	0.0	0.0	0.0
14.0	0.23124612527974286	27.579114890759897	22.11401986586798	0.0	0.0	0.0
15.0	0.24971669573408217	50.0	8.979429053941729	0.0	5.9972546142692895	35.02331369414419
16.0	0.33244639166353857	49.398898781569486	23.24674681879116	6.902325092783777	9.443355017701371	11.00865914225331
17.0	0.21026292341286984	29.4769712714659	0.0	0.0	0.0	18.16973625866337
18.0	0.5605246992695216	32.33753763727579	48.055471753372714	13.675424247044937	0.4825455672796696	5.44901813384475
19.0	0.10783209630021456	35.747662343353866	0.07336118484099763	1.1100799687172813	22.28332010592466	39.89265272633244
20.0	0.2244154996614726	47.09838527453422	0.02121628840759393	0.9840227498183418	25.59419236386305	5.72044161965094
21.0	0.2059527180900188	39.16413890045241	26.0486545303882	2.1149785257333575	28.143204550665814	0.01978465439571031
22.0	0.24836475303783537	43.95630924972061	35.62337289304557	0.5897623702777302	19.830554262183078	0.0
23.0	0.22280934250277692	46.82515945271097	0.022149041192143226	4.081171492009272	12.50100875116832	23.539677135495474
24.0	0.30607429024324767	39.110295551450456	39.40405824456599	0.0	0.0	21.485613712784353
25.0	0.09144996700582833	35.32922553198017	1.1904113094407198	2.384031756817606	44.470668756749944	12.345011715678755
26.0	0.16250951087689897	36.282287329905095	13.466589306882087	4.087054735728001	24.143438259145256	20.562624739492048
27.0	0.18981094945169355	43.19390045132895	8.09117129265603	0.08127019813854996	25.307114803482065	19.568207430008748
28.0	2.730957587987172	36.96610496579037	0.1663841456701176	13.873663135099257	44.458520303031065	3.655710895639208
29.0	6.730742594574978	5.979413548332624	2.8794758927569886	4.221779122264974	45.15038137356318	39.464587929173334
30.0	0.2408240780661011	37.41681165922678	12.919768565809909	5.831147931308545	2.4875487959099054	39.56873398741831
31.0	0.12410279458340476	30.740822801616492	0.0	0.0	30.75049641456625	9.054867826378395
32.0	0.16786863096531882	41.49230402045061	6.491962210573686	0.0	37.26901142884766	14.746720302314088
33.0	0.3069299066209966	50.0	0.0	0.0	0.0	50.0
34.0	0.19120578407173294	38.005400792379035	0.0	0.0	12.51942753718265	34.26509996953059
35.0	0.20404856046512995	35.61124564538549	24.564609774443944	7.835640479626461	9.232152548041505	22.756347011523715
36.0	0.1412184337038465	15.032701066003169	0.0	0.0	5.664765552055548	0.0
37.0	0.19999643490226157	35.285326789345234	22.7344831553235	0.0	17.07353179474876	7.07392540638092
38.0	0.13766269729636563	39.22312401942959	0.0	0.0	38.59694846034775	22.179927037351007
39.0	1.1832705677819397	22.356292494711337	50.0	0.0	27.643702983932492	0.0
40.0	0.12737214042973882	36.7763527767593	0.0	0.0	50.0	8.36653482365042
41.0	0.09918202149728783	34.094302769794965	0.0	0.0	43.13255596220069	12.539449279062401
42.0	0.22179370970453618	36.725793405725824	0.0	0.0	14.939903921669424	7.567083761311261
43.0	0.049026231865281385	9.707983584844044	0.0	0.0	0.0	12.45176576951376
44.0	0.3358953871161649	30.700659125642176	2.3855712277068064	11.329886167868231	19.776588065078833	31.908022920845404
45.0	0.1668195932283238	28.320998415518	43.834090310700056	0.0	0.0	0.0
46.0	0.6509771873942047	28.71497366639601	18.509595279722422	0.0	50.0	2.7754278633495466
47.0	0.13792427807924473	23.232194724627735	28.223723198218877	5.253113735296973	0.0	14.149078407571393
48.0	0.09517329693472698	6.693924508468896	13.966179453463225	0.0	0.0	0.0
49.0	0.08525571390740433	10.29719981592471	0.0	0.0	0.0	3.67271707075157
50.0	0.05437101712617308	17.330971330728456	32.89503159976775	4.98356717089106	0.0	0.0
51.0	0.1961300988843597	39.84428315989439	1.3527586251295132	3.2908203165568084	12.018276936020067	40.74081600143345
52.0	0.07104072858799684	18.798443648312826	0.0	4.421330458911616	0.0	26.31586714728299
53.0	0.10977603661446117	21.78219338123044	0.0	3.452876441603054	10.44217439727693	17.90948445662576
54.0	0.09325828285374742	20.361548029424874	9.918199662515635	3.242978250418727	0.0	22.62553316592862
55.0	0.3008834403392724	50.0	24.464230873074595	1.7718058249590938	0.0	23.763957978508948
56.0	0.1407966296843759	29.166661148965513	35.09613124365663	3.795486506660862	7.687614563367349	0.0
57.0	1.7170163949313046	12.945540832844404	27.330143239918918	19.53512212332961	0.25093458259727863	38.783977755917746
58.0	0.18061655199911894	40.5046216335401	1.1236219154078104	4.6276707839083135	23.80570179212169	29.938383875001332
59.0	0.19103865012335067	29.146024665363438	0.0	0.0	0.0	50.0
60.0	0.22676422794875745	50.0	0.0	0.0	13.62741868324206	12.016217407677338
